id,tt
128,410.0
133,410.0
fastest_travel_time,380.0
137,390.0
266,400.0
142,410.0
143,440.0
17,700.0
281,860.0
155,880.0
28,630.0
157,890.0
52,400.0
288,720.0
162,820.0
36,530.0
296,620.0
297,620.0
299,620.0
301,620.0
305,570.0
180,550.0
309,560.0
184,510.0
185,500.0
314,510.0
59,380.0
191,470.0
65,380.0
194,430.0
198,430.0
76,420.0
332,380.0
290,720.0
334,390.0
335,400.0
337,400.0
210,920.0
total_travel_time,26540.0
87,820.0
218,890.0
222,810.0
181,530.0
145,440.0
104,580.0
235,650.0
240,560.0
116,480.0
247,490.0
